word,x,y
εἶπον,0.09240442514419556,0.9994262456893921
Σοφοκλέης,0.9679383635520935,1.7004808187484741
πᾶς,-0.7248616218566895,0.6799986362457275
ζητέω,-0.385708749294281,1.0171571969985962
ἁλωτός,0.05288460850715637,2.9296200275421143
ἐκφεύγω,-1.0487569570541382,0.7129054665565491
ἀμελέω,-0.4479404091835022,1.0342037677764893
πάλιν,-0.21631604433059692,0.24710334837436676
αὖ,-0.2443724274635315,1.0916295051574707
διαιρέω,-3.4131932258605957,0.23258793354034424
διδακτός,-0.7352083325386047,2.102980375289917
μανθάνω,-0.02937888912856579,1.1055325269699097
εὐκτός,-0.38328641653060913,1.4556961059570312
θέα,0.4105035960674286,1.0646077394485474
αἰτέω,-0.5460048317909241,0.6972166299819946
ἄνθρωπος,-0.6082340478897095,1.22797691822052
